City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
44,Mahibadhoo,MV,3.7833,72.9667,82.62,71,97,15.86,overcast clouds
45,Provideniya,RU,64.3833,-173.3,33.8,70,86,6.31,overcast clouds
46,Bredasdorp,ZA,-34.5322,20.0403,57.96,73,100,2.04,overcast clouds
47,Hermanus,ZA,-34.4187,19.2345,57.79,66,99,4.18,overcast clouds
48,Laguna,US,38.421,-121.4238,77.18,59,0,0.0,clear sky
49,Ahipara,NZ,-35.1667,173.1667,56.97,71,100,9.6,overcast clouds
50,Rikitea,PF,-23.1203,-134.9692,71.06,69,10,22.24,clear sky
51,Havre-Saint-Pierre,CA,50.2334,-63.5986,44.96,100,100,18.41,overcast clouds
52,Goderich,CA,43.7501,-81.7165,47.91,70,100,13.8,overcast clouds
53,Kruisfontein,ZA,-34.0033,24.7314,61.88,55,88,6.91,overcast clouds
54,San Patricio,US,28.017,-97.5169,78.84,63,100,1.5,overcast clouds
55,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,93,75,10.36,broken clouds
56,Butaritari,KI,3.0707,172.7902,81.14,78,83,11.86,light rain
57,Sao Leopoldo,BR,-29.7603,-51.1472,60.4,90,0,1.01,clear sky
58,Olutanga,PH,7.3106,122.8464,83.95,69,40,4.59,scattered clouds
59,Cabo San Lucas,MX,22.8909,-109.9124,76.6,71,0,4.9,clear sky
60,Sitka,US,57.0531,-135.33,54.59,94,92,1.97,overcast clouds
61,Ayagoz,KZ,47.9714,80.4392,68.77,16,0,12.39,clear sky
62,Saint-Augustin,CA,51.226,-58.6502,42.35,88,100,18.9,overcast clouds
63,Mount Isa,AU,-20.7333,139.5,89.37,31,40,17.27,scattered clouds
64,Barrow,US,71.2906,-156.7887,33.82,80,100,25.32,mist
65,Georgetown,MY,5.4112,100.3354,85.89,78,20,8.05,few clouds
66,Sayla,IN,22.55,71.4667,84.67,62,97,5.77,overcast clouds
67,Coalinga,US,36.1397,-120.3602,79.12,26,0,4.45,clear sky
68,Bluff,NZ,-46.6,168.3333,54.05,66,49,5.12,scattered clouds
69,Bandarbeyla,SO,9.4942,50.8122,84.45,62,16,16.98,few clouds
70,Chapleau,CA,47.8405,-83.4034,30.58,88,44,8.77,scattered clouds
71,Vinh Long,VN,10.25,105.9667,76.98,96,100,6.82,moderate rain
72,Vaini,TO,-21.2,-175.2,75.36,88,75,12.66,broken clouds
73,Ribeira Grande,PT,38.5167,-28.7,70.77,82,16,5.46,few clouds
74,Besikduzu,TR,41.052,39.2284,66.09,78,100,1.59,overcast clouds
75,Nunoa,PE,-14.48,-70.6411,40.53,70,8,1.9,clear sky
76,Byron Bay,AU,-28.65,153.6167,77.94,74,89,15.26,overcast clouds
77,Pangnirtung,CA,66.1451,-65.7125,24.76,82,100,1.54,overcast clouds
78,Mount Gambier,AU,-37.8333,140.7667,54.77,51,49,8.37,scattered clouds
79,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,70,100,16.11,overcast clouds
80,Cody,US,44.5263,-109.0565,47.01,76,0,2.19,clear sky
