City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,146,Road Town,VG,18.4167,-64.6167,82.49,75,5,17.27,clear sky
147,147,Faanui,PF,-16.4833,-151.75,77.61,78,19,20.13,light rain
148,148,Ust-Ishim,RU,57.6935,71.1665,48.88,80,93,7.54,overcast clouds
149,149,Khasan,RU,42.4308,130.6434,55.96,55,100,8.77,overcast clouds
150,150,Walvis Bay,,-22.9575,14.5053,56.35,88,44,8.05,scattered clouds
151,151,Basoko,CD,1.2391,23.616,68.54,98,99,2.28,overcast clouds
152,152,Jeremoabo,BR,-10.075,-38.4808,67.73,98,6,5.14,clear sky
153,153,Salinopolis,BR,-0.6136,-47.3561,78.71,82,0,10.6,clear sky
154,154,Revda,RU,56.801,59.9303,43.39,84,100,9.26,overcast clouds
155,155,Talaya,RU,61.3833,152.75,21.34,80,100,3.53,overcast clouds
156,156,Luderitz,,-26.6481,15.1594,59.94,66,1,15.66,clear sky
157,157,Sur,OM,22.5667,59.5289,84.09,43,0,2.95,clear sky
158,158,Chuy,UY,-33.6971,-53.4616,53.56,83,29,8.1,scattered clouds
159,159,Chicama,PE,-7.8447,-79.1469,57.74,85,90,6.31,overcast clouds
160,160,Cayenne,GF,4.9333,-52.3333,73.44,94,0,0.0,clear sky
161,161,Talnakh,RU,69.4865,88.3972,33.21,96,100,10.94,light snow
162,162,Baykit,RU,61.67,96.37,36.01,83,100,7.36,overcast clouds
163,163,Moose Factory,CA,51.2585,-80.6094,35.58,69,75,12.66,broken clouds
164,164,Ribeira Grande,PT,38.5167,-28.7,70.81,83,12,4.59,few clouds
165,165,Porto Seguro,BR,-16.4497,-39.0647,75.72,94,20,6.91,few clouds
166,166,Mandalgovi,MN,45.7625,106.2708,24.67,74,100,24.49,overcast clouds
167,167,Ormara,PK,25.2088,64.6357,85.3,28,0,9.31,clear sky
168,168,Ahipara,NZ,-35.1667,173.1667,60.12,59,100,10.27,overcast clouds
169,169,Kuybyshevo,RU,47.8123,38.9073,54.99,73,100,10.6,overcast clouds
170,170,Carnarvon,AU,-24.8667,113.6333,77.38,35,3,9.95,clear sky
171,171,Saint-Philippe,RE,-21.3585,55.7679,72.99,73,33,11.01,scattered clouds
172,172,Pacific Grove,US,36.6177,-121.9166,60.21,91,100,5.99,overcast clouds
173,173,Hithadhoo,MV,-0.6,73.0833,81.16,77,38,14.12,scattered clouds
174,174,Urengoy,RU,65.9667,78.3667,38.73,98,100,8.03,overcast clouds
175,175,College,US,64.8569,-147.8028,41.58,88,75,4.61,broken clouds
176,176,Omboue,GA,-1.5746,9.2618,72.41,92,42,3.31,scattered clouds
177,177,San Vicente,AR,-26.6167,-54.1333,49.3,87,0,1.79,clear sky
178,178,Razole,IN,16.4833,81.8333,80.87,81,100,5.55,overcast clouds
179,179,Lagoa,PT,39.05,-27.9833,69.66,83,69,6.76,broken clouds
180,180,Yeppoon,AU,-23.1333,150.7333,83.98,69,0,10.54,clear sky
181,181,Qaqortoq,GL,60.7167,-46.0333,28.38,82,55,6.71,broken clouds
182,182,Cervo,ES,43.6702,-7.4101,60.85,86,100,14.94,overcast clouds
183,183,Saldanha,ZA,-33.0117,17.9442,46.45,87,75,13.62,broken clouds
184,184,Otaru,JP,43.1894,141.0022,60.58,66,35,10.0,scattered clouds
185,185,Ouanaminthe,HT,19.55,-71.7333,76.08,86,8,4.14,clear sky
186,186,Palmer,US,42.1584,-72.3287,54.0,71,40,12.66,scattered clouds
187,187,Ponta Do Sol,PT,32.6667,-17.1,72.23,78,19,6.8,few clouds
188,188,Iqaluit,CA,63.7506,-68.5145,26.33,73,100,10.36,overcast clouds
189,189,Constitucion,CL,-35.3333,-72.4167,51.33,87,86,10.13,overcast clouds
190,190,Dillon,US,34.4166,-79.3712,64.42,63,35,4.76,scattered clouds
191,191,New Norfolk,AU,-42.7826,147.0587,56.71,64,95,5.01,overcast clouds
192,192,Kuytun,RU,54.3419,101.5036,38.68,51,29,8.99,scattered clouds
193,193,Byron Bay,AU,-28.65,153.6167,80.71,72,96,14.79,overcast clouds
194,194,Westport,US,41.1415,-73.3579,62.78,65,100,10.36,overcast clouds
195,195,Clyde River,CA,70.4692,-68.5914,19.63,79,100,12.66,overcast clouds
196,196,Takoradi,GH,4.8845,-1.7554,74.62,90,71,5.14,broken clouds
197,197,Pafos,CY,34.7667,32.4167,62.38,72,20,6.91,few clouds
198,198,Vostok,RU,46.4856,135.8833,45.03,39,20,6.04,few clouds
199,199,Morondava,MG,-20.2833,44.2833,76.39,79,53,3.71,broken clouds
200,200,Vanimo,PG,-2.6741,141.3028,84.76,70,81,8.46,broken clouds
201,201,Verkhoyansk,RU,67.5447,133.385,21.34,72,100,8.59,overcast clouds
202,202,Umm Lajj,SA,25.0213,37.2685,83.28,66,1,10.78,clear sky
203,203,Port Moresby,PG,-9.4431,147.1797,83.68,73,79,9.17,broken clouds
204,204,Durango,MX,24.8333,-104.8333,55.35,79,13,2.39,few clouds
205,205,Colares,PT,38.7992,-9.4469,63.79,92,3,17.0,clear sky
206,206,Avera,US,33.194,-82.5271,66.38,55,0,6.42,clear sky
207,207,Olafsvik,IS,64.8945,-23.7142,41.68,79,100,20.83,overcast clouds
208,208,Tocopilla,CL,-22.092,-70.1979,59.38,74,33,3.24,scattered clouds
209,209,Daru,PG,-9.0763,143.2092,81.28,87,100,13.2,overcast clouds
210,210,Sao Sebastiao,BR,-23.76,-45.4097,69.01,89,100,1.72,overcast clouds
211,211,Young,UY,-32.6833,-57.6333,59.34,60,3,13.15,clear sky
212,212,Sakaiminato,JP,35.55,133.2333,69.73,52,75,14.97,broken clouds
213,213,Doha,QA,25.2867,51.5333,85.89,82,0,4.61,clear sky
214,214,Talakan,RU,50.3167,130.3667,43.23,46,100,3.6,overcast clouds
215,215,Cedral,MX,23.8,-100.7333,60.12,78,99,10.76,overcast clouds
216,216,Bilibino,RU,68.0546,166.4372,16.75,95,100,8.86,light snow
217,217,Sakakah,SA,29.9697,40.2064,76.57,17,19,6.08,few clouds
218,218,Ambovombe,MG,-25.1667,46.0833,77.5,46,0,3.13,clear sky
219,219,Esperance,AU,-33.8667,121.9,67.05,43,92,8.84,overcast clouds
220,220,Shimoda,JP,34.6667,138.95,70.16,67,100,13.2,overcast clouds
221,221,Tura,IN,25.5198,90.2201,82.9,67,71,3.91,broken clouds
222,222,Shawinigan,CA,46.5668,-72.7491,41.49,75,59,3.44,broken clouds
223,223,Vardo,NO,70.3705,31.1107,42.78,87,76,19.57,broken clouds
224,224,Terra Santa,BR,-2.1042,-56.4869,77.45,56,12,2.66,few clouds
225,225,Vilyuysk,RU,63.7553,121.6247,29.46,72,100,9.04,overcast clouds
226,226,Zabol,AF,32.25,67.25,61.3,7,0,1.05,clear sky
227,227,Ishigaki,JP,24.3448,124.1572,78.93,94,75,16.11,broken clouds
228,228,Todos Santos,MX,23.45,-110.2167,78.66,87,1,0.58,clear sky
229,229,Bataipora,BR,-22.2953,-53.2711,58.86,88,62,3.06,broken clouds
230,230,Andenes,NO,69.3143,16.1194,42.78,87,40,8.05,scattered clouds
231,231,Ostrovnoy,RU,68.0531,39.5131,41.63,90,97,18.79,overcast clouds
232,232,Migori,KE,-1.0634,34.4731,61.23,74,91,6.78,overcast clouds
233,233,Lufilufi,WS,-13.8745,-171.5986,89.38,78,100,18.41,light rain
234,234,Leningradskiy,RU,69.3833,178.4167,21.2,75,83,9.4,broken clouds
235,235,Ajaccio,FR,42.0,8.9167,55.45,88,0,8.05,clear sky
236,236,Te Anau,NZ,-45.4167,167.7167,54.18,57,30,8.72,scattered clouds
237,237,Kununurra,AU,-15.7667,128.7333,96.78,41,40,8.05,scattered clouds
238,238,Waipawa,NZ,-41.4122,175.5153,56.3,53,0,6.51,clear sky
239,239,Kalanchak,UA,46.2562,33.2907,54.16,79,100,9.33,overcast clouds
240,240,Xinqing,CN,48.2333,129.5,50.4,31,36,0.85,scattered clouds
241,241,Dalvik,IS,65.9702,-18.5286,33.73,88,100,4.52,overcast clouds
242,242,Khandbari,NP,27.3747,87.2039,71.38,86,99,0.74,overcast clouds
243,243,Imeni Poliny Osipenko,RU,52.4201,136.4853,43.68,43,12,3.76,few clouds
244,244,Tazovskiy,RU,67.4667,78.7,36.07,99,100,7.76,light rain
245,245,Raudeberg,NO,61.9875,5.1352,47.07,15,100,21.68,overcast clouds
246,246,Neiafu,TO,-18.65,-173.9833,77.68,88,75,5.75,light intensity shower rain
247,247,Port-Gentil,GA,-0.7193,8.7815,76.64,81,96,0.69,overcast clouds
248,248,Puro,PH,12.4841,123.3827,85.91,69,88,7.92,overcast clouds
249,249,Makarov,RU,48.6333,142.8,48.54,51,52,4.85,broken clouds
250,250,Amarante Do Maranhao,BR,-5.5667,-46.7422,77.38,50,22,3.91,few clouds
251,251,Evensk,RU,61.95,159.2333,32.47,49,63,6.35,broken clouds
252,252,Hasaki,JP,35.7333,140.8333,70.21,59,100,14.36,overcast clouds
253,253,Chihuahua,MX,28.5,-106.0,63.72,61,91,4.5,overcast clouds
254,254,Pisco,PE,-13.7,-76.2167,59.05,88,0,5.75,clear sky
255,255,Swan Hill,AU,-35.3378,143.5544,61.43,39,69,13.42,broken clouds
256,256,Mehamn,NO,71.0357,27.8492,40.91,81,28,14.97,scattered clouds
257,257,Rocha,UY,-34.4833,-54.3333,57.79,57,37,13.44,scattered clouds
258,258,Porto Novo,BJ,6.4965,2.6036,76.82,94,94,3.22,light rain
259,259,Caravelas,BR,-17.7125,-39.2481,75.11,88,100,11.81,overcast clouds
260,260,Grand Gaube,MU,-20.0064,57.6608,73.38,65,67,11.01,broken clouds
261,261,Ilulissat,GL,69.2167,-51.1,21.09,76,100,3.47,overcast clouds
262,262,Tagusao,PH,9.1924,117.8141,87.62,63,64,3.24,broken clouds
263,263,Cabo San Lucas,MX,22.8909,-109.9124,81.61,70,0,3.87,clear sky
264,264,Fortuna,US,40.5982,-124.1573,56.93,85,19,4.12,few clouds
265,265,Nikolskoye,RU,59.7035,30.7861,49.8,75,62,11.77,broken clouds
266,266,Superior,US,46.7208,-92.1041,39.76,78,0,11.5,clear sky
267,267,Katherine,AU,-14.4667,132.2667,95.32,41,40,8.05,scattered clouds
268,268,Naze,JP,28.3667,129.4833,77.92,64,90,12.48,overcast clouds
269,269,Valdivia,CL,-39.8142,-73.2459,39.29,91,6,1.19,clear sky
270,270,Mahebourg,MU,-20.4081,57.7,73.26,73,40,12.66,scattered clouds
271,271,Male,MV,4.1748,73.5089,84.15,74,40,13.8,scattered clouds
272,272,Praxedis Guerrero,MX,31.3667,-106.0167,68.63,51,97,20.42,overcast clouds
273,273,Pangnirtung,CA,66.1451,-65.7125,24.78,86,100,1.77,overcast clouds
274,274,Padang,ID,-0.9492,100.3543,86.05,71,100,0.6,light rain
275,275,Bathsheba,BB,13.2167,-59.5167,83.01,78,40,18.41,scattered clouds
276,276,Kodiak,US,57.79,-152.4072,53.11,87,100,0.0,mist
277,277,Cibitoke,BI,-2.8833,29.25,64.9,57,95,2.98,overcast clouds
278,278,Sorland,NO,67.667,12.6934,46.26,86,100,17.67,overcast clouds
279,279,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,50.59,35,40,8.95,scattered clouds
280,280,Voyvozh,RU,62.892,54.9635,41.95,89,97,7.7,overcast clouds
281,281,Rio Grande,BR,-32.035,-52.0986,56.68,84,0,6.93,clear sky
282,282,Baruun-Urt,MN,46.6806,113.2792,34.47,36,100,21.43,overcast clouds
283,283,Kaeo,NZ,-35.1,173.7833,61.32,66,100,10.49,overcast clouds
284,284,Blagoyevo,RU,63.3667,47.9167,45.52,79,95,7.14,overcast clouds
285,285,Hualahuises,MX,24.8847,-99.6733,69.33,79,99,1.25,overcast clouds
286,286,Ust-Kuyga,RU,70.0167,135.6,25.05,86,100,14.36,light snow
287,287,Rapar,IN,23.5667,70.6333,83.95,61,38,7.61,scattered clouds
288,288,Alofi,NU,-19.0595,-169.9187,78.69,73,100,13.8,overcast clouds
289,289,Orlik,RU,52.5178,99.825,30.54,34,25,3.44,scattered clouds
290,290,Taguatinga,BR,-12.3857,-46.5711,80.17,49,35,5.44,scattered clouds
291,291,Chimbote,PE,-9.0853,-78.5783,60.91,86,78,7.74,broken clouds
292,292,Coquimbo,CL,-29.9533,-71.3436,53.33,100,0,3.44,clear sky
293,293,Disa,IN,24.25,72.1667,78.96,74,92,4.79,overcast clouds
294,294,Half Moon Bay,US,37.4636,-122.4286,70.29,85,20,11.5,few clouds
295,295,Mar Del Plata,AR,-38.0023,-57.5575,59.02,85,100,11.5,shower rain
296,296,Lusambo,CD,-4.9667,23.45,67.53,99,98,1.9,overcast clouds
297,297,Puerto Baquerizo Moreno,EC,-0.9,-89.6,67.84,82,94,11.34,overcast clouds
298,298,Kruisfontein,ZA,-34.0033,24.7314,50.88,86,75,6.11,broken clouds
299,299,Katsuura,JP,35.1333,140.3,69.58,60,100,13.73,overcast clouds
300,300,Voh,NC,-20.9667,164.7,82.78,57,65,9.62,broken clouds
301,301,San Cristobal,VE,7.7669,-72.225,68.18,93,100,3.78,overcast clouds
302,302,Beloha,MG,-25.1667,45.05,73.74,72,1,4.88,clear sky
303,303,Muncar,ID,-8.4333,114.3333,81.61,80,99,4.29,overcast clouds
304,304,Verkhnevilyuysk,RU,63.4453,120.3167,31.19,79,100,9.01,overcast clouds
305,305,Belmonte,BR,-15.8631,-38.8828,74.73,93,80,9.44,broken clouds
306,306,Ehingen,DE,48.2826,9.7275,55.13,95,100,4.61,light rain
307,307,Anderson,US,34.5334,-82.6499,66.74,84,0,0.0,clear sky
308,308,Moyale,KE,3.5167,39.0584,64.76,80,71,11.25,broken clouds
309,309,Knysna,ZA,-34.0363,23.0471,58.1,72,79,3.76,broken clouds
310,310,Millville,US,39.4021,-75.0393,64.53,68,75,6.91,broken clouds
311,311,Aktash,RU,50.3,87.7333,38.59,27,18,5.82,few clouds
312,312,Rye,US,40.9807,-73.6837,62.92,69,75,6.91,broken clouds
313,313,Tutoia,BR,-2.7619,-42.2744,78.71,84,15,10.25,few clouds
314,314,Zhangye,CN,38.9342,100.4517,47.62,15,4,15.59,clear sky
315,315,Wuwei,CN,37.9281,102.6414,50.36,22,75,12.71,broken clouds
316,316,Haines Junction,CA,60.7522,-137.5108,57.15,51,99,8.05,overcast clouds
317,317,San Matias,BO,-16.3667,-58.4,66.74,75,95,1.95,overcast clouds
318,318,Ranong,TH,9.9658,98.6348,80.53,83,100,2.51,overcast clouds
319,319,Fenoarivo Atsinanana,MG,-17.3667,49.4167,71.1,79,47,8.93,light rain
320,320,Emilio Carranza,MX,19.9711,-96.6114,73.45,85,62,8.72,broken clouds
321,321,Gamba,GA,-2.65,10.0,74.64,88,79,2.37,broken clouds
322,322,Vila Franca Do Campo,PT,37.7167,-25.4333,72.19,85,88,4.43,overcast clouds
323,323,Nyagan,RU,62.1406,65.3936,41.45,94,99,5.55,overcast clouds
324,324,Hamilton,US,39.1834,-84.5333,46.78,81,0,0.0,clear sky
