City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
408,Dunedin,NZ,52.99,scattered clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
410,Margate,GB,50.7,clear sky,51.3813,1.3862,Premier Inn Margate hotel
412,Kohima,IN,75.97,few clouds,25.6667,94.1167,The Homestay
415,Port Lincoln,AU,57.7,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
416,Nador,MA,71.85,broken clouds,35.174,-2.9287,Hôtel La Giralda
421,Swan Hill,AU,60.71,broken clouds,-35.3378,143.5544,Lazy River Motor Inn
422,San Rafael,AR,64.99,scattered clouds,-34.6177,-68.3301,Hotel San Rafael
425,Adre,TD,79.66,broken clouds,13.4667,22.2,
427,Trinidad,BO,66.45,overcast clouds,-14.8333,-64.9,Hotel Piesta
428,Cassilandia,BR,65.86,overcast clouds,-19.1133,-51.7342,Delirius Motel
431,Puerto Madero,MX,77.7,overcast clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
432,Batemans Bay,AU,59.09,light rain,-35.7167,150.1833,Batemans Bay Marina Resort
436,Key Largo,US,79.0,clear sky,25.0865,-80.4473,Bayside Inn Key Largo
437,Grand Gaube,MU,76.37,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
439,Krumovgrad,BG,65.03,clear sky,41.4667,25.65,Hotel Divna
440,Baoshan,CN,53.85,broken clouds,46.5586,131.4244,Kelaixiang Restaurant
442,Ruma,RS,59.86,broken clouds,45.0081,19.8222,"""Park"""
443,Akdepe,TM,64.27,clear sky,42.0551,59.3788,
444,Praia Da Vitoria,PT,66.76,broken clouds,38.7333,-27.0667,Hotel Branco I
445,Tecoanapa,MX,77.97,broken clouds,16.5167,-98.75,Hotel Manglares
446,Scurtu Mare,RO,61.86,broken clouds,44.35,25.2667,
447,Sucua,EC,65.75,overcast clouds,-2.4667,-78.1667,Finca el Piura
